id,formula,target,Ea (eV),space group,ICSD Entry,formula_preprocessed
498,Li6P0.64Ge0.36S5I,6.58E-04,0.24,216,,Li6P0.64Ge0.36S5I
499,Li6P0.53Ge0.47S5I,1.52E-03,0.24,216,,Li6P0.53Ge0.47S5I
500,Li6P0.48Ge0.52S5I,1.83E-03,0.23,216,,Li6P0.48Ge0.52S5I
501,Li6P0.31Ge0.69S5I,5.16E-03,0.24,216,,Li6P0.31Ge0.69S5I
502,Li6P0.21Ge0.79S5I,5.41E-03,0.25,216,,Li6P0.21Ge0.79S5I
503,Li6PS5Cl,1.31E-06,0.38,216,,Li6PS5Cl
504,Li6PS5Br,2.41E-05,0.16,216,259208,Li6PS5Br
505,Li6PS5I,4.10E-07,0.32,216,418489,Li6PS5I
506,Li6PS5I,9.24E-05,,216,,Li6PS5I
507,Li6.1P0.9Sn0.1S5I,1.61E-04,,216,,Li6.1P0.9Sn0.1S5I
508,Li6.2P0.8Sn0.2S5I,2.32E-04,,216,,Li6.2P0.8Sn0.2S5I
509,Li6.25P0.75Sn0.25S5I,2.92E-04,,216,,Li6.25P0.75Sn0.25S5I
510,Li6.3P0.7Sn0.3S5I,3.06E-04,,216,,Li6.3P0.7Sn0.3S5I
511,Li6.5P0.5Sn0.5S5I,2.35E-04,,216,,Li6.5P0.5Sn0.5S5I
512,Li6.4P0.6Ge0.4S5I,2.51E-04,,216,,Li6.4P0.6Ge0.4S5I
513,Li6.45P0.55Ge0.45S5I,3.65E-04,,216,,Li6.45P0.55Ge0.45S5I
514,Li6.5P0.5Ge0.5S5I,5.42E-04,,216,,Li6.5P0.5Ge0.5S5I
515,Li6.55P0.45Ge0.55S5I,4.11E-04,,216,,Li6.55P0.45Ge0.55S5I
516,Li6.6P0.4Ge0.6S5I,2.74E-04,,216,,Li6.6P0.4Ge0.6S5I
517,Li6.8P0.2Ge0.8S5I,5.21E-05,,216,,Li6.8P0.2Ge0.8S5I
518,LiCe(BH4)3Cl,1.03E-04,,217,185218,LiCe(BH4)3Cl
519,Li7PN4,1.60E-07,0.4,218,69017,Li7PN4
520,Li8GeP4,8.60E-05,0.394,218,235185,Li8.0Ge1P4.0
521,Li4B7O12Cl,2.40E-05,,219,1125,Li4B7O12Cl
522,Fe0.16La2.95Li5.68Zr2O12,9.35E-04,0.29,220,431391,Fe0.16La2.95Li5.68Zr2O12
523,Fe0.19La2.95Li5.57Zr2O12,1.38E-03,0.28,220,431392,Fe0.19La2.95Li5.57Zr2O12
524,Li3ClO,2.50E-02,,221,,Li3ClO
525,Li2.99Ba0.005Cl0.5I0.5,2.50E-03,0.06,221,,Li2.99Ba0.005Cl0.5I0.5
526,Li0.31La0.63((Ti0.9Co0.1)O3,2.60E-04,,221,151533,Li0.31La0.63((Ti0.9Co0.1)O3
527,(La0.49Li0.461Sr0.049)(TiO3),0.000709,0.33,221,190825,La0.49Li0.461Sr0.049Ti1O3.0
528,(La0.46Li0.429Sr0.111)(TiO3),0.000197,0.33,221,190826,La0.46Li0.429Sr0.111Ti1O3.0
529,(La0.402Li0.368Sr0.230)(TiO3),2.87E-05,0.36,221,190827,La0.402Li0.368Sr0.23Ti1O3.0
530,Li2(OH)0.9F0.1Cl,3.86E-05,0.52,221,,Li2(OH)0.9F0.1Cl
531,Li2(OH)Br,1.20E-06,0.75,221,200874,Li2(OH)Br
532,Li9NS3,8.30E-07,0.52,221,240749,Li9NS3
533,(La0.55Li0.45)(Ti0.9Al0.1)O3,1.51E-03,,221,254045,(La0.55Li0.45)(Ti0.9Al0.1)O3
534,(La0.6Li0.4)(Ti0.8Al0.2)O3,5.68E-04,,221,254046,(La0.6Li0.4)(Ti0.8Al0.2)O3
535,(La0.65Li0.35)(Ti0.7Al0.3)O3,1.61E-04,,221,254047,(La0.65Li0.35)(Ti0.7Al0.3)O3
536,(La0.7Li0.3)(Ti0.6Al0.4)O3,1.04E-07,,221,254048,(La0.7Li0.3)(Ti0.6Al0.4)O3
537,(Li0.16Sr0.69)(Ga0.25Ta0.75)O3,3.69E-06,0.359,221,291520,(Li0.16Sr0.69)(Ga0.25Ta0.75)O3
538,Li0.375Sr0.4375Zr0.25Ta0.75O3,2.00E-04,0.26,221,,Li0.375Sr0.4375Zr0.25Ta0.75O3
539,Li0.25Sr0.625Ta0.5Zr0.5O3,3.34E-07,0.42,221,,Li0.25Sr0.625Ta0.5Zr0.5O3
540,Li0.375Sr0.4375Hf0.25Ta0.75O3,3.80E-04,0.36,221,,Li0.375Sr0.4375Hf0.25Ta0.75O3
541,Li0.375Sr0.4375Zr0.25Nb0.75O3,2.00E-05,0.26,221,,Li0.375Sr0.4375Zr0.25Nb0.75O3
542,Li0.25Sr0.625Zr0.5Nb0.5O3,2.75E-07,0.36,221,,Li0.25Sr0.625Zr0.5Nb0.5O3
543,Li2.99Ba0.005ClO,2.50E-02,0.13,221,,Li2.99Ba0.005ClO
544,Li2.99Ba0.005Cl0.5I0.5O,3.37E-03,,221,,Li2.99Ba0.005Cl0.5I0.5O
545,Sm0.5Li0.42TiO2.96,3.93E-10,0.58,221,,Sm0.5Li0.42TiO2.96
546,La0.52Li0.35TiO2.96,9.11E-04,0.32,221,,La0.52Li0.35TiO2.96
547,La0.61Li0.15TiO3,2.06E-04,,221,,La0.61Li0.15TiO3
548,La0.58Li0.24TiO3,7.22E-04,,221,,La0.58Li0.24TiO3
549,La0.55Li0.33TiO3,1.58E-03,,221,,La0.55Li0.33TiO3
550,La0.54Li0.36TiO3,9.79E-03,,221,,La0.54Li0.36TiO3
551,La0.52Li0.42TiO3,7.21E-04,,221,,La0.52Li0.42TiO3
552,La0.6Sr0.06Li0.06TiO3,1.13E-05,0.37,221,,La0.6Sr0.06Li0.06TiO3
553,La0.56Sr0.1Li0.1TiO3,1.37E-05,0.37,221,,La0.56Sr0.1Li0.1TiO3
554,La0.51Sr0.15Li0.15TiO3,5.30E-05,0.38,221,,La0.51Sr0.15Li0.15TiO3
