,formula_unedited,formula,space group,target
104,Li0.09La0.77TiO3,Li0.09La0.77TiO3,47.0,-3.910094888560602
105,Li0.15La0.72TiO3,Li0.15La0.72TiO3,47.0,-3.382999658879101
107,Li0.12La0.75TiO3,Li0.12La0.75TiO3,47.0,-3.623423042943488
108,Li0.16La0.7TiO3,Li0.16La0.7TiO3,47.0,-3.2831622767004753
109,Li0.23La0.7TiO3,Li0.23La0.7TiO3,47.0,-3.279014255846261
110,Li5AlO4,Li5AlO4,59.0,-9.301029995663981
111,Li14Nd5(Si11N19O5)O2F2,Li14Nd5Si11N19O5O2F2,59.0,-9.769551078621726
112,Li5GaO4,Li5GaO4,61.0,-8.301029995663981
113,Li2SiN2,Li2SiN2,61.0,-6.795880017344075
114,Li6.5O8P1.5Si0.5,Li6.5O8P1.5Si0.5,62.0,-6.347753658996677
115,Li3.4Si0.7S0.3O4,Li3.4Si0.7S0.3O4,62.0,-6.375717904164332
116,Li3.2Si0.6S0.4O4,Li3.2Si0.6S0.4O4,62.0,-5.87942606879415
117,Li3.1Si0.55S0.45O4,Li3.1Si0.55S0.45O4,62.0,-6.503070351926785
118,Li6.6SiPO8,Li6.6SiPO8,62.0,-6.8297382846050425
119,Li4.2Si0.8Al0.2S4,Li4.2Si0.8Al0.2S4,62.0,-7.619788758288394
120,Li4.4Si0.6Al0.4S4,Li4.4Si0.6Al0.4S4,62.0,-7.517126416391246
121,Li4.6Si0.4Al0.6S4,Li4.6Si0.4Al0.6S4,62.0,-7.838631997765025
122,Li4.8Si0.2Al0.8S4,Li4.8Si0.2Al0.8S4,62.0,-6.647817481888637
123,Li3.8Si0.8Al0.2S4,Li3.8Si0.8Al0.2S4,62.0,-7.623423042943488
124,Li3.6Si0.6Al0.4S4,Li3.6Si0.6Al0.4S4,62.0,-7.51427857351842
125,Li3.4Si0.4Al0.6S4,Li3.4Si0.4Al0.6S4,62.0,-7.838631997765025
126,Li3.2Si0.2Al0.8S4,Li3.2Si0.2Al0.8S4,62.0,-6.642065152999546
132,Li2.88PO3.73N0.14,Li2.88PO3.73N0.14,62.0,-12.853871964321762
133,Li3PO4,Li3PO4,62.0,-17.3767507096021
135,Li14Zn(GeO4)4,Li14ZnGe4O16,62.0,-6.0
137,Li3.70Ge0.85W0.15O4,Li3.7Ge0.85W0.15O4,62.0,-4.42021640338319
138,Li0.2Ca0.4TaO3,Li0.2Ca0.4TaO3,62.0,-8.452225294612177
139,Li0.2(Ca0.36Sr0.04)TaO3,Li0.2Ca0.36Sr0.04TaO3,62.0,-8.036212172654444
141,Li4SnSe4,Li4SnSe4,62.0,-4.698970004336019
142,Li(BH4),LiBH4,62.0,-8.0
143,LiZnSO4F,LiZnSO4F,62.0,-4.552841968657781
145,Li4SnS4,Li4SnS4,62.0,-4.154901959985743
146,Li2ZnI4,Li2ZnI4,62.0,-7.3979400086720375
147,Pr0.53Li0.41TiO3,Pr0.53Li0.41TiO3,62.0,-7.075720713938118
148,Pr0.54Li0.38TiO3,Pr0.54Li0.38TiO3,62.0,-5.928117992693875
149,Pr0.55Li0.35TiO3,Pr0.55Li0.35TiO3,62.0,-5.82102305270683
150,Pr0.56Li0.32TiO3,Pr0.56Li0.32TiO3,62.0,-5.718966632752273
151,Pr0.57Li0.29TiO3,Pr0.57Li0.29TiO3,62.0,-5.543633966870957
152,Pr0.58Li0.26TiO3,Pr0.58Li0.26TiO3,62.0,-5.412289034981089
153,Pr0.59Li0.23TiO3,Pr0.59Li0.23TiO3,62.0,-5.468521082957745
154,Li2.5Y0.5Zr0.5Cl6,Li2.5Y0.5Zr0.5Cl6,62.0,-2.853871964321762
155,Li2.633Er0.633Zr0.367Cl6,Li2.633Er0.633Zr0.367Cl6,62.0,-2.958607314841775
156,Li3.33Ge0.33V0.67O4,Li3.33Ge0.33V0.67O4,62.0,-5.158640529545145
157,Li3.6Ge0.6V0.4O4,Li3.6Ge0.6V0.4O4,62.0,-4.705533773838407
159,Li3.5Ge0.5V0.5O4,Li3.5Ge0.5V0.5O4,62.0,-4.752026733638194
160,Li3.87Sn0.87As0.13S4,Li3.87Sn0.87As0.13S4,62.0,-4.8297382846050425
161,Li3.855Sn0.855As0.145S4,Li3.855Sn0.855As0.145S4,62.0,-3.8827287043442356
162,Li3.85Sn0.85As0.15S4,Li3.85Sn0.85As0.15S4,62.0,-3.6819366650372385
163,Li3.84Sn0.84As0.16S4,Li3.84Sn0.84As0.16S4,62.0,-3.2328441339178196
164,Li3.83Sn0.83As0.17S4,Li3.83Sn0.83As0.17S4,62.0,-2.856985199745905
165,Li3.825Sn0.825As0.175S4,Li3.825Sn0.825As0.175S4,62.0,-3.285670240254767
166,Li3.82Sn0.82As0.18S4,Li3.82Sn0.82As0.18S4,62.0,-3.54821356447571
167,Li3.8Sn0.8As0.2S4,Li3.8Sn0.8As0.2S4,62.0,-3.9746941347352296
168,Li3.75Sn0.75As0.25S4,Li3.75Sn0.75As0.25S4,62.0,-5.432973633840939
169,Nd0.54Li0.36TiO3,Nd0.54Li0.36TiO3,62.0,-7.465973893943865
170,Pr0.51Li0.39TiO2.96,Pr0.51Li0.39TiO2.96,62.0,-6.272458742971444
171,Sm0.52Li0.38TiO2.97,Sm0.52Li0.38TiO2.97,62.0,-6.698970004336019
172,Li4GeO4,Li4GeO4,63.0,-9.55284196865778
173,LiCl*H2O,LiClH2O,63.0,-8.0
174,Li2MgBr4,Li2MgBr4,65.0,-9.10790539730952
175,Li0.22La0.60TiO3,Li0.22La0.6TiO3,65.0,-3.318758762624413
177,LiBiO2,LiBiO2,72.0,-7.42021640338319
178,Li2.5Zn0.25PS4,Li2.5Zn0.25PS4,82.0,-3.0757207139381184
179,LiZnPS4,LiZnPS4,82.0,-7.267606240177032
180,Li2Zn0.5PS4,Li2Zn0.5PS4,82.0,-3.886056647693163
181,(Li1.69Zn0.66)PS4,Li1.69Zn0.66PS4,82.0,-3.886056647693163
182,Li1.5Zn0.75PS4,Li1.5Zn0.75PS4,82.0,-4.782516055786093
183,(Li1.19Zn0.9)PS4,Li1.19Zn0.9PS4,82.0,-5.187086643357144
184,(Li0.5Ce0.5)(MoO4),Li0.5Ce0.5MoO4,88.0,-7.886056647693163
185,(Li0.5Ce0.25Pr0.25)(MoO4),Li0.5Ce0.25Pr0.25MoO4,88.0,-9.0
186,(Li0.5Ce0.25Sm0.25)(MoO4),Li0.5Ce0.25Sm0.25MoO4,88.0,-9.744727494896694
189,Li2B4O7,Li2B4O7,110.0,-10.0
190,LiY(BH4)4,LiYB4H16,112.0,-5.8996294548824375
191,LiPN2,LiPN2,122.0,-6.795880017344075
192,La0.565Li0.305TiO3,La0.565Li0.305TiO3,123.0,-3.0190880622231564
193,La0.5Li0.5TiO3,La0.5Li0.5TiO3,123.0,-3.0338582672609675
