id,formula,target,balanced_charge,Ea (eV),space group,ICSD Entry,formula_preprocessed
52,Li0.84Sn0.79S2,1.20E-04,1,0.17,12.0,,Li0.84Sn0.79S2
53,LiAlSi4O10,1.01E-10,1,,13.0,194284.0,LiAlSi4O10
54,LiPO3,1.00E-09,1,,13.0,51630.0,LiPO3
55,LiGaBr4,7.00E-06,1,0.54,14.0,61337.0,LiGaBr4
56,Li2SO4,1.40E-14,1,1.1,14.0,2512.0,Li2SO4
57,Li3BO3,7.40E-11,1,0.63,14.0,9105.0,Li3BO3
58,Li6Ge2O7,8.50E-07,1,0.43,14.0,31050.0,Li6Ge2O7
59,LiAlCl4,1.00E-06,1,0.47,14.0,35275.0,LiAlCl4
60,LiYO2,1.80E-08,1,0.72,14.0,45511.0,LiYO2
61,LiBO2,1.00E-08,1,0.71,14.0,200891.0,LiBO2
62,LiClC3H7NO,1.60E-04,1,0.881,14.0,238683.0,LiClC3H7NO
63,LaLiO2,<1E-10,1,0.92,14.0,239278.0,LaLiO2
64,(La0.9Sr0.1)LiO2,6.29E-10,1,0.62,14.0,239279.0,(La0.9Sr0.1)LiO2
65,La(Li0.76Mg0.08)O2,7.27E-10,1,0.66,14.0,239280.0,La(Li0.76Mg0.08)O2
66,Li2.5V2(PO4)3,1.90E-07,1,,14.0,240269.0,Li2.5V2(PO4)3
67,Li4Zn(PO4)2,<1E-10,1,1.3,14.0,255464.0,Li4Zn(PO4)2
68,LiSbO2,<1E-10,1,0.88,14.0,262075.0,LiSbO2
69,Li2Sr2Al(PO4)3,<1E-10,1,1.02,14.0,431319.0,Li2Sr2Al(PO4)3
70,Li2ZrO3,6.10E-10,1,0.78,15.0,94894.0,Li2ZrO3
71,Li6Zr2O7,5.20E-10,1,0.68,15.0,73835.0,Li6Zr2O7
72,Li3AlF6,5.00E-07,1,0.54,15.0,85171.0,Li3AlF6
73,Li2SnS3,1.50E-05,1,0.59,15.0,251656.0,Li2SnS3
74,LiTa2PO8,1.60E-03,1,0.32,15.0,267438.0,LiTa2PO8
75,LiBaP2O7,1.00E-10,1,,15.0,280927.0,LiBaP2O7
76,Li3Na5(TiS4)2,8.80E-06,1,0.4,15.0,391258.0,Li3Na5(TiS4)2
77,LiGd(PO3)4,<1E-10,1,1.7,15.0,416442.0,LiGd(PO3)4
78,LiVO3,2.05E-09,1,,15.0,51443.0,LiVO3
79,Li2CrCl4,<1E-10,1,1.22,15.0,202627.0,Li2CrCl4
80,Li3ErI6,9.92E-05,1,0.37,15.0,,Li3ErI6
81,Li3.7Zn0.7Ga0.3(PO4)2,<1E-10,1,0.91,19.0,255466.0,Li3.7Zn0.7Ga0.3(PO4)2
82,Li3SbS4,1.50E-06,1,0.518,31.0,8407.0,Li3SbS4
83,Li3PS4,2.60E-07,1,0.49,31.0,180318.0,Li3PS4
84,LiGaO2,2.40E-14,1,0.86,33.0,18152.0,LiGaO2
85,LiB6O9F,5.40E-24,1,1.38,33.0,420286.0,LiB6O9F
86,Li3SbS3,1.00E-07,1,0.4,33.0,424834.0,Li3SbS3
87,LiSi2N3,6.17E-08,1,0.64,36.0,34118.0,LiSi2N3
88,Li2(PO2N),<1E-10,1,0.57,36.0,188493.0,Li2(PO2N)
89,LiGa2GeS6,3.80E-08,1,0.47,43.0,254406.0,LiGa2GeS6
90,La0.64Li0.08TiO3,3.35E-04,1,,47.0,92228.0,La0.64Li0.08TiO3
91,La0.62Li0.14TiO3,4.42E-04,1,,47.0,92231.0,La0.62Li0.14TiO3
92,La0.595Li0.215TiO3,8.53E-04,1,,47.0,92234.0,La0.595Li0.215TiO3
93,Li0.4Na0.1La0.5Nb2O6,9.92E-06,1,,47.0,180629.0,Li0.4Na0.1La0.5Nb2O6
94,Li0.3Na0.2La0.5Nb2O6,1.11E-05,1,,47.0,180630.0,Li0.3Na0.2La0.5Nb2O6
95,Li0.2Na0.3La0.5Nb2O6,1.18E-05,1,,47.0,180631.0,Li0.2Na0.3La0.5Nb2O6
96,Li0.1Na0.4La0.5Nb2O6,1.21E-05,1,,47.0,180632.0,Li0.1Na0.4La0.5Nb2O6
97,Li0.07Na0.43La0.5Nb2O6,1.23E-05,1,,47.0,180633.0,Li0.07Na0.43La0.5Nb2O6
98,Li0.04Na0.46La0.5Nb2O6,5.91E-06,1,,47.0,180634.0,Li0.04Na0.46La0.5Nb2O6
99,Li0.02Na0.48La0.5Nb2O6,3.99E-06,1,,47.0,180635.0,Li0.02Na0.48La0.5Nb2O6
100,(Ag0.33Li0.67)0.27La0.57TiO3,1.00E-04,1,0.3,47.0,,(Ag0.33Li0.67)0.27La0.57TiO3
101,(Ag0.5Li0.5)0.27La0.57TiO3,2.30E-05,1,0.28,47.0,,(Ag0.5Li0.5)0.27La0.57TiO3
102,(Ag0.67Li0.33)0.27La0.57TiO3,2.00E-07,1,0.37,47.0,,(Ag0.67Li0.33)0.27La0.57TiO3
103,Pr0.56Li0.34TiO3.01,1.00E-06,1,0.47,47.0,,Pr0.56Li0.34TiO3.01
104,Nd0.55Li0.34TiO3,8.00E-07,1,0.53,47.0,,Nd0.55Li0.34TiO3
105,Li0.09La0.77TiO3,1.23E-04,1,,47.0,,Li0.09La0.77TiO3
106,Li0.15La0.72TiO3,4.14E-04,1,,47.0,,Li0.15La0.72TiO3
107,Li0.24La0.65TiO3,5.77E-04,1,,47.0,,Li0.24La0.65TiO3
108,Li0.12La0.75TiO3,2.38E-04,1,,47.0,,Li0.12La0.75TiO3
109,Li0.16La0.7TiO3,5.21E-04,1,,47.0,,Li0.16La0.7TiO3
110,Li0.23La0.7TiO3,5.26E-04,1,,47.0,,Li0.23La0.7TiO3
111,Li5AlO4,5.00E-10,1,0.99,59.0,16229.0,Li5AlO4
112,Li14Nd5(Si11N19O5)O2F2,1.70E-10,1,0.69,59.0,262923.0,Li14Nd5(Si11N19O5)O2F2
113,Li5GaO4,5.00E-09,1,0.71,61.0,9082.0,Li5GaO4
114,Li2SiN2,1.60E-07,1,,61.0,420126.0,Li2SiN2
115,Li6.5O8P1.5Si0.5,4.49E-07,1,0.44,62.0,238600.0,Li6.5O8P1.5Si0.5
116,Li3.4Si0.7S0.3O4,4.21E-07,1,,62.0,47145.0,Li3.4Si0.7S0.3O4
117,Li3.2Si0.6S0.4O4,1.32E-06,1,,62.0,,Li3.2Si0.6S0.4O4
118,Li3.1Si0.55S0.45O4,3.14E-07,1,,62.0,,Li3.1Si0.55S0.45O4
119,Li6.6SiPO8,1.48E-07,1,0.49,62.0,238601.0,Li6.6SiPO8
120,Li4.2Si0.8Al0.2S4,2.40E-08,1,0.53,62.0,,Li4.2Si0.8Al0.2S4
121,Li4.4Si0.6Al0.4S4,3.04E-08,1,0.52,62.0,,Li4.4Si0.6Al0.4S4
122,Li4.6Si0.4Al0.6S4,1.45E-08,1,0.52,62.0,,Li4.6Si0.4Al0.6S4
123,Li4.8Si0.2Al0.8S4,2.25E-07,1,0.52,62.0,,Li4.8Si0.2Al0.8S4
124,Li3.8Si0.8Al0.2S4,2.38E-08,1,0.53,62.0,,Li3.8Si0.8Al0.2S4
